"FWtU1","fJrrk","fJrrk 2","FWtU1 href","Qj_9F src","LBG5d","Z_aNr","t5RmH","t5RmH 2","HaBLt","HaBLt 2","zmm9w","p7NSE src","Kh0Rn","HX987","qHfAA","W9v_K","y2ZHx","y2ZHx 2","y2ZHx 3"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=416492065&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/64/649b55c5-c67e-43c5-b6d3-87981d6c883d?rule=mo-160w.jpg","Volkswagen T-Cross","1.0 TSI GOAL*Navi*RFK*Plus-Paket*SHZ","29.715 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,8 l/100km (komb.) • 132 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/57/577b8b6b-9c3c-4b4a-bef8-49f4f1b1f43c?rule=mo-80.jpg","95448 Bayreuth","Motor-Nützel Vertriebs-GmbH","4.8 Sterne","(6)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419749344&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/fb/fba364b2-ed9b-48ab-a174-86b8391760b2?rule=mo-160w.jpg","Volkswagen Caddy","1.5 TSI Edition Klima SHZG PDC","27.490 €","¹","• 84 kW (114 PS) • Benzin","Neuwagen","6,6 l/100km (komb.) • 149 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/1a/1ad42039-9ba7-461e-ae2f-1a277409be64?rule=mo-80.jpg","34281 Gudensberg-Dissen","Autohaus Rössel GmbH","4.8 Sterne","(124)","App-Connect","Einparkhilfe hinten","Tempomat"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419533534&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/bc/bcc0585b-8d8f-452a-b1f1-dd77ee9c2dd4?rule=mo-160w.jpg","Volkswagen Golf","8 Life Variant *Facelift*3 Jahre Garantie*","28.450 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","56814 Ernst","HZ-Automobile","4.9 Sterne","(17)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414980400&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/13/13b4ae83-0e4b-44d6-ac9b-5a819a7edb77?rule=mo-160w.jpg","Volkswagen Golf","VIII Lim. 1.5 TSI 85 kW Goal","28.900 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse -- (komb.)","","66822 Lebach-Thalexweiler","Auto-Service Zimmer & Schu GmbH","4.7 Sterne","(6)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415585574&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/37/3730ecb1-f68c-4e51-9c33-2dfab29072e5?rule=mo-160w.jpg","Volkswagen Golf","Facelift Life 150PS AHK+Navi+Kamera 1.5 ...","28.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","83052 Bruckmühl","Huber Automobile GmbH","5 Sterne","(25)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420143457&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a9/a98cc24f-2e61-4b60-8c0f-544691730b55?rule=mo-160w.jpg","Volkswagen T-Cross","1.5 TSI R-Line Kamera ACC SH PDC","27.495 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,1 l/100km (komb.) • 139 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/82/8231376d-6545-4586-8a3d-41a1f0e7ff0a?rule=mo-80.jpg","90411 Nürnberg","EU Neuwagen Verkauf KH GmbH & CoKG","4.9 Sterne","(42)","ACC Abstandstempomat","abgedunkelte Scheiben","Keyless"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=394795456&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/ad/ad6d55b1-60d7-4e77-9f5d-c5c3e9b9471f?rule=mo-160w.jpg","Volkswagen Golf","Style 150PS eTSI DSG - RFK/LED Plus/Side...","28.864 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 122 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","29525 Uelzen","Autohaus Thieme GmbH","4.4 Sterne","(8)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=403214428&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=26&ref=srp&refId=e44f5460-65c5-a387-0184-7a720e888451&s=Car&sb=rel&searchId=e44f5460-65c5-a387-0184-7a720e888451&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a2/a26a5025-0995-4c1e-a7f3-cbc31622c7e9?rule=mo-160w.jpg","Volkswagen Polo","Style 95 PS DSG | RÜKA | IQ.LIGHT | IQ.DRIV","27.490 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,8 l/100km (komb.) • 135 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/df/df577e71-9116-4a8f-a374-512c8b9a8188?rule=mo-80.jpg","99423 Weimar","Autohaus Glinicke GmbH & Co. Vertriebs KG","4.2 Sterne","(8)","","",""
"","Suche speichern","26","","","","","","","Speichere diese Suche und lass Dich benachrichtigen, wenn neue Angebote eingestellt werden.","","","","","","","","","",""
"Versicherung ab 9,85 € mtl.","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=399806392&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/83/8359f268-2159-419a-8c20-87e5b04f6084?rule=mo-160w.jpg","Volkswagen T-Cross","GOAL 1.0 l TSI 95 PS 219,- mtl. SH APP A","27.489 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 128 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/9b/9bd17a49-3a21-4f45-a10b-890e85c17ad2?rule=mo-80.jpg","32805 Horn-Bad Meinberg","Kurt Stricker GmbH & Co. KG","4.4 Sterne","(142)","Travle Assist / LED /","Sitzheizung / App-Conn","Einparkhilfe / Klimaau"
"Versicherung ab 10,17 € mtl.","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418398922&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b2/b2738a42-106d-478e-8397-70c0a32f102f?rule=mo-160w.jpg","Volkswagen Polo","1,0 TSI Goal NAVI+LED+CLIMATRONIC+PARKPILOT","29.725 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 122 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/da/da720031-893a-45fb-a4f1-3d0f7a8eea5f?rule=mo-80.jpg","24594 Hohenwestedt","Autohaus Ihle GmbH","4.9 Sterne","(57)","Navigationssystem","App-Connect","Abstandstempomat"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415955166&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/9f/9f3a66c0-9137-4d41-9945-c0fd6a9bc1f7?rule=mo-160w.jpg","Volkswagen Golf","Life HUD Navi LED Sperrdiff. ACC Apple CarP","28.490 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","","94060 Pocking","Auto-Ringler-Service GmbH","4.5 Sterne","(26)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415744080&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/4e/4e9e5832-b090-4e4d-96cc-40c9550102a3?rule=mo-160w.jpg","BMW 116","Steptronic Sitzhzg. Vorn Lankradhzg.","31.190 €","¹","• 90 kW (122 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 135 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/14/149ccf7f-4c89-47d7-ae26-e73b7abec865?rule=mo-80.jpg","41334 Nettetal","Autohaus Timmermanns Nettetal GmbH - Vertragshändler der BMW AG für BMW, BMWI, BMWM und  MINI","4.7 Sterne","(16)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413426464&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/62/620964a7-479c-43d8-8bab-51af9383d923?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI 85 kW ACC*GJR*Kamera*LED","28.770 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414135255&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/f2/f2abd328-35ee-41ce-ba65-415fe293e828?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI 85 kW Rückfahrkamera*GJR","28.770 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413607310&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/2a/2a43ad4a-f3d9-463d-bf1d-eb8e683eac49?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI 85 kW ACC*GJR*Kamera*LED","28.770 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413098407&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/77/77a0c619-6168-494e-a26e-0505f3968b0d?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI 85 kW Rückfahrkamera*GJR","28.770 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=409912247&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/36/36bc5e5d-220c-4d5c-b008-df21e726ab40?rule=mo-160w.jpg","Volkswagen Golf","Variant GOAL 1.5 TSI 6-Gang","28.770 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","35625 Hüttenberg-Rechtenbach","Auto-Müller GmbH & Co.KG","4.1 Sterne","(19)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=395001761&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/91/9176af8a-75f3-4794-8a9a-e48c0d100a87?rule=mo-160w.jpg","Volkswagen T-Cross","R-Line 1.0 l TSI 116 PS DSG AHK Navi Kam","29.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 136 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/f0/f03db56b-c047-4fc3-8ab2-5e95cfda8e9c?rule=mo-80.jpg","74906 Bad Rappenau","asw.AUTOMOBILE Bad Rappenau GmbH","4.5 Sterne","(15)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421133294&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/1f/1fd50bd9-7ff9-46a7-b734-933eaa70b23c?rule=mo-160w.jpg","BMW 216 Gran Coupé","216i Gran Coupé 122 PS Modelljahr 2025","31.190 €","¹","• 90 kW (122 PS) • Benzin","Neuwagen","6,3 l/100km (komb.) • 141 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/4e/4ef909b9-f45e-43e7-b119-214e4abf1862?rule=mo-80.jpg","82407 Wielenbach","EU Neuwagen Knott GmbH","4.9 Sterne","(125)","Neu & Konfigurierbar !","Keine Anzahlung !","3 Jahre Garantie"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421653982&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/2c/2ce2e264-6815-444e-9867-139ef96cc28c?rule=mo-160w.jpg","Volkswagen T-Roc","GOAL 1.0 TSI 189,- mtl. LED ACC Carplay SH","29.754 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/9b/9bd17a49-3a21-4f45-a10b-890e85c17ad2?rule=mo-80.jpg","32805 Horn-Bad Meinberg","Kurt Stricker GmbH & Co. KG","4.4 Sterne","(142)","189,- mtl.","Einparkhilfe","Sitzheizung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=402460301&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/50/50be9f00-aa4e-4919-9a48-0bd7fa5abc47?rule=mo-160w.jpg","Volkswagen Golf","Limited (NEUES MODELL) 1.5 eTSI 115 PS D...","28.323 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","92637 Weiden i. d. OPf.","Automobile Voit GmbH & Co. KG","4.3 Sterne","(11)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415955167&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/34/34dfb48d-d304-4f6e-9aad-89307e041461?rule=mo-160w.jpg","Volkswagen Golf","Life HUD Navi LED ACC Apple CarPlay Android","28.900 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","","94060 Pocking","Auto-Ringler-Service GmbH","4.5 Sterne","(26)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=412139136&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/53/531f8cc2-7af0-48dd-af7c-8491b28f4816?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l TSI OPF 116 PS 6-Gang Business P","28.290 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","35745 Herborn","Hoppmann Automobil GmbH","4.5 Sterne","(33)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413426454&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/67/675ae718-bbd3-4fc8-835c-203e2ff29a15?rule=mo-160w.jpg","Volkswagen Golf","Variant GOAL 1,5 l TSI 85 kW GJR*Kamera","28.970 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=402460276&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/07/07c600df-d1e8-42fa-85db-17433919f4b1?rule=mo-160w.jpg","Volkswagen Golf","Life (NEUES MODELL) 1.5 eTSI 150 PS DSG,...","28.971 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 120 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","92637 Weiden i. d. OPf.","Automobile Voit GmbH & Co. KG","4.3 Sterne","(11)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=390503860&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/79/79d79f15-2709-41c0-8b3f-4d016b92b524?rule=mo-160w.jpg","Volkswagen Golf","VIII Move eTSI 1.5 DSG NAVI Leder MFL SITZH","28.999 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,1 l/100km (komb.) • 138 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","","66620 Nonnweiler","Birtel & Fehr GmbH Automobile","4.6 Sterne","(9)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=389419553&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/be/be02d3af-49a9-43d6-bda8-4e399bcbee97?rule=mo-160w.jpg","Volkswagen Golf","VIII 1,5 eTSI  DSG Move Navi SITZHZG LederM","28.999 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,1 l/100km (komb.) • 138 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","","66620 Nonnweiler","Birtel & Fehr GmbH Automobile","4.6 Sterne","(9)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=389346339&con=NEW&dam=false&isSearchRequest=true&pageNumber=27&ref=srp&refId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&s=Car&sb=rel&searchId=dadcdbb7-4a7b-5456-387c-a1f7262d15a5&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/59/593cc27a-a512-4a16-9a32-0bbd6c577a24?rule=mo-160w.jpg","Volkswagen Golf","VIII 1.5 eTSI DSG Move Navi LED PDC SITZHZG","28.999 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,1 l/100km (komb.) • 138 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","","66620 Nonnweiler","Birtel & Fehr GmbH Automobile","4.6 Sterne","(9)","","",""
"","Suche speichern","27","","","","","","","Speichere diese Suche und lass Dich benachrichtigen, wenn neue Angebote eingestellt werden.","","","","","","","","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414527614&con=NEW&dam=false&isSearchRequest=true&pageNumber=28&ref=srp&refId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&s=Car&sb=rel&searchId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/9e/9ee74151-f114-4a18-9cd3-aeb33c209824?rule=mo-160w.jpg","Volkswagen Polo","Life 1,0 l TSI OPF 70 kW (95 PS) 7- Gang-Do","29.795 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 6 g CO₂/km (komb.) • CO₂-Klasse B (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/7a/7a4c11d6-5631-40c2-91c2-db93a6639947?rule=mo-80.jpg","06667 Weißenfels","Autohaus Kittel GmbH","4.8 Sterne","(4)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=404497635&con=NEW&dam=false&isSearchRequest=true&pageNumber=28&ref=srp&refId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&s=Car&sb=rel&searchId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/28/2895c209-48e8-41c8-acfd-7cc63649ef56?rule=mo-160w.jpg","Volkswagen Golf","VIII 1.5 TSI Life Apple Car Play Rückfahrka","27.980 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","51688 Wipperfürth","BONGEN Auto & Service GmbH","4.9 Sterne","(5)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415208680&con=NEW&dam=false&isSearchRequest=true&pageNumber=28&ref=srp&refId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&s=Car&sb=rel&searchId=9e50eed3-da87-a1a2-59e0-05b52d8c7e8a&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/19/19d14580-7617-45ee-9325-ee41bab0f24a?rule=mo-160w.jpg","Volkswagen T-Roc","T-ROC 1.0 TSI R-LINE / BLACK STYLE+KAMERA","29.970 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,9 l/100km (komb.) • 135 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/99/99a6b13d-7c5e-431d-84fa-fa260196868d?rule=mo-80.jpg","57368 Lennestadt","Autohaus Egon Baumhoff GmbH & Co KG","4.9 Sterne","(43)","Herstellerpaket","Parklenkassistent","Rückfahrkamera"
